country,code,healthexp_pct_gdp_2014,healthexp_pct_gdp_2015,healthexp_pct_gdp_2016,healthexp_pct_gdp_2017,healthexp_pct_gdp_2018,healthexp_pct_gdp_2019,healthexp_pct_gdp_2020,healthexp_pct_gdp_2021,healthexp_pct_gdp_2021 or latest,healthexp_PPP_2015,healthexp_usd_percap_2018,healthexp_usd_percap_2019,infant_mort_2020,mat_mort_2017
Afghanistan,AFG,3.7,3.26,3.51,3.37,3.2,3.21,,,3.21,184,70,65.8,60.8,638
Albania,ALB,3.05,3.44,3.96,3.61,,3.92,3.1,,3.92,774,274.9,,2.4,15
Algeria,DZA,,,7.34,6.51,5.87,6.1,,,6.1,"1,031",256,248.2,11.6,112
Angola,AGO,3.12,3.49,2.75,2.47,2.04,1.93,2.42,,2.42,196,87.3,71.3,8.8,241
Argentina,ARG,5.36,5.78,5.55,5.45,4.88,4.72,,,4.72,"1,390",1127.9,946,9.7,39
Armenia,ARM,2.25,2.81,2.76,2.71,2.26,2.56,2.71,,2.71,883,422.3,524,,26
Australia,AUS,5.16,5.32,5.29,5.14,5.12,,,,5.12,"4,492",5364.5,5427.5,3,6
Austria,AUT,5.45,5.46,5.48,5.37,5.22,,,,5.22,"5,138",5322.3,5242.2,17.3,5
Azerbaijan,AZE,2.63,2.95,2.9,2.47,2.46,2.68,,,2.46,"1,191",168.4,193.1,38.6,26
Bahamas,BHS,2.5,2.25,2.33,2.42,2.25,2.29,2.37,2.78,2.78,"1,699",2002.4,2004.6,4.9,70
Bahrain,BHR,2.47,2.67,2.87,2.32,2.37,2.09,2.15,,2.15,"2,453",994.2,940.4,10.5,14
Bangladesh,BGD,,,1.54,,,1.33,,,1.33,88,41.9,45.9,5.1,173
Barbados,BRB,6.14,5.38,4.71,4.37,5.43,3.2,3.06,6.45,6.45,"1,234",1164.5,1143.3,9.6,27
Belarus,BLR,4.82,4.79,4.95,4.79,5.38,4.98,4.95,,4.95,"1,085",351,399.4,10,2
Belgium,BEL,6.59,6.45,6.46,6.43,6.38,,,,6.38,"4,782",5134.4,4960.4,56.5,5
Belize,BLZ,6.61,6.87,7.29,7.45,7.47,7.14,7.53,8.71,8.71,524,286,293.4,,36
Benin,BEN,3.16,3.17,2.9,3.54,2.93,2.97,3,,3,84,31.1,29.1,52.8,397
Bhutan,BTN,6.04,7.59,6.99,7.23,6.85,5.68,,,5.68,287,102.7,116,36.1,183
Bolivia,BOL,8.26,8.94,8.85,8.66,8.9,,,,8.9,446,235.7,245.9,13.1,155
Bosnia and Herzegovina,BIH,,,,,,,,,-,"1,102",539.9,553.8,2.2,10
Botswana,BWA,,7.81,7.97,7.3,6.72,6.91,8.74,,8.74,970,494.2,481.5,77.5,144
Brazil,BRA,5.95,6.24,6.31,6.32,6.09,,,,6.09,"1,392",866.2,853.4,11.4,60
Brunei,BRN,3.35,,4.43,,,,,,-,"2,083",763.1,671.6,23.2,10
Bulgaria,BGR,,,,4.08,,,,,,"1,492",689.9,697.9,5.8,320
Burkina Faso,BFA,4.05,3.67,,5.63,5.49,5.7,5.52,,5.52,96,40.3,42.3,24.3,548
Burundi,BDI,6.78,6.37,4.69,4.76,5.08,5.35,5.04,,5.04,64,22.4,20.6,3.4,
Cabo Verde,CPV,4.96,5.27,5.29,5.18,5.37,4.73,7.58,,7.58,310,190.5,177.9,6.7,58
Cambodia,KHM,1.91,2.6,2.8,3.2,2.16,,,,2.16,210,92.9,113.3,39.2,160
Cameroon,CMR,2.58,2.66,2.56,3.06,3.03,3.08,3.17,,3.17,163,53.2,54,63.8,529
Canada,CAN,,,,,,,,,-,"4,600",5018.7,5048.4,3.9,10
Central African Republic,CAF,2.22,1.91,1.75,1.75,1.57,1.77,2.17,,2.17,32,53.7,37.2,4.4,829
Chad,TCD,2.6,2.4,2.3,2.45,2.26,2.37,2.91,,2.91,100,29.7,29.9,11.6,1140
Chile,CHL,4.73,4.88,5.34,5.42,5.43,,,,5.43,"1,903",1455.1,1375.8,5.5,13
China,CHN,3.73,3.82,3.79,3.67,3.54,3.54,3.57,,3.57,762,501.1,535.1,57.9,29
Colombia,COL,4.63,4.47,4.48,4.54,4.45,4.51,4.93,,4.93,853,513.2,495.3,47.2,83
Comoros,COM,2.74,2.55,,,,,,,,121,69.4,72.3,12.2,273
Congo (Dem. Rep.),COD,1.95,2.17,2.12,1.45,,,2.45,2.7,2.7,34,18.5,20.6,33,473
Congo (Rep.),COG,3.18,3.28,5.24,4.45,3,3.58,4.45,,4.45,203,49.5,48.6,11.4,378
Costa Rica,CRI,6.68,6.87,6.89,7.07,6.77,6.8,6.71,,6.71,"1,286",909.7,921.6,14,27
Cote d'Ivoire,CIV,3.31,3.49,3.97,3.8,3.24,3.72,3.44,,3.44,190,72.2,75.1,48.3,617
Croatia,HRV,,,,3.85,3.91,,,,,"1,656",1014.2,1040.1,46.7,8
Cuba,CUB,,,,,,,,,,-,986.9,1031.9,,36
Cyprus,CYP,6.44,6.33,6.15,5.72,,,,,,"2,137",1981.8,1996.5,2.3,6
Czech Republic,CZE,3.97,5.75,5.55,3.81,4.27,,,,4.27,"2,470",1765.6,1844.2,3.1,3
Denmark,DNK,7.63,,,7.75,6.79,,,,6.79,"5,083",6216.8,6003.3,27.9,4
Djibouti,DJI,,3.59,3.92,3.75,3.63,,,,3.63,147,71.1,61.8,31.7,248
Dominican Republic,DOM,3.96,3.82,3.85,3.92,3.93,4.04,4.62,,4.62,873,461.5,491.1,19.5,95
Ecuador,ECU,5.26,5,4.36,4.61,4.62,4.23,4.13,,4.13,980,495.2,486.5,16.6,59
Egypt,EGY,4.25,3.93,4.05,,,2.61,2.48,,2.48,495,125.5,149.8,3.1,37
El Salvador,SLV,3.82,3.91,3.83,3.73,3.61,3.39,,,3.39,578,288.5,300.1,1.6,46
Equatorial Guinea,GNQ,,,,,,,,,,790,310.6,254.9,3.6,301
Eritrea,ERI,,,,,,,,,,56,24,25.3,2.7,480
Estonia,EST,4.39,5.14,5.16,4.96,5.26,,,,5.26,"1,887",1552.6,1598.8,35.4,9
Eswatini,SWZ,7.07,5.36,5.41,6.14,5.68,5.65,5.34,5,5,-,298.1,264.1,,437
Ethiopia,ETH,4.6,4.74,5.06,5.65,5.07,,,,5.07,66,24.3,26.7,3.2,401
Fiji,FJI,4.27,4.81,4.84,4.65,4.84,5.07,,,5.07,331,216.1,235.7,3.4,34
Finland,FIN,7.1,7.03,6.85,6.36,6.28,,,,6.28,"3,669",4515.7,4450.3,23,3
France,FRA,,,,5.45,5.41,,,,5.41,"4,542",4657.8,4491.7,,8
Gabon,GAB,2.67,2.99,2.66,3.33,2.93,2.73,3.18,,3.18,481,218.5,215,3.6,252
"Gambia, The",GMB,2.23,2.16,2.02,2.46,2.37,2.79,2.76,,2.76,-,35.8,29.7,51.4,597
Georgia,GEO,3,3.16,3.59,3.57,3.52,3.81,3.85,,3.85,718,312.7,291.1,33,25
Germany,DEU,4.92,4.86,4.84,4.87,4.98,,,,4.98,"5,357",5482,5440.3,47.2,7
Ghana,GHA,4.4,4.43,4.39,3.53,3.89,,,,3.89,249,76.8,75.3,,308
Greece,GRC,,3.66,,3.48,3.6,,,,3.6,"2,204",1572.7,1500.6,14.5,3
Guatemala,GTM,2.99,3.03,2.94,2.95,3.14,3.2,3.3,,3.3,444,259.6,271,,95
Guinea,GIN,2.42,2.52,2.54,2.32,2.38,1.85,2.2,,2.2,57,35.7,43,34.7,576
Guinea-Bissau,GNB,2.2,2.3,2.3,2.2,2.14,2.95,2.71,,2.71,100,61.2,62.6,58.3,667
Guyana,GUY,4.36,3.9,4.74,4.66,4.45,,,,4.45,336,301.4,325.9,4.1,169
Haiti,HTI,1.75,1.86,1.4,1.5,1.63,,,,1.63,120,63.1,57,3.4,480
Honduras,HND,7.09,6.41,5.16,4.94,6.06,4.91,6.44,,6.44,353,180.9,187.6,45.6,65
Hungary,HUN,4.6,4.49,4.61,4.61,4.62,,,,4.62,"1,912",1074,1062.4,17.3,12
Iceland,ISL,7.64,7.46,7.43,7.58,7.56,,,,7.56,"4,116",6565.9,6275,2.9,4
