country,code,life_exp_2019
Aruba,ABW,76.248
Africa Eastern and Southern,AFE,63.75567361
Afghanistan,AFG,63.565
Africa Western and Central,AFW,57.55579555
Angola,AGO,62.448
Albania,ALB,79.282
Andorra,AND,
Arab World,ARB,71.84462603
United Arab Emirates,ARE,79.726
Argentina,ARG,77.284
Armenia,ARM,75.439
American Samoa,ASM,
Antigua and Barbuda,ATG,78.691
Australia,AUS,82.9
Austria,AUT,81.89512195
Azerbaijan,AZE,73.102
Burundi,BDI,62.351
Belgium,BEL,81.99512195
Benin,BEN,60.454
Burkina Faso,BFA,60.039
Bangladesh,BGD,72.806
Bulgaria,BGR,75.11219512
Bahrain,BHR,80.019
"Bahamas, The",BHS,71.205
Bosnia and Herzegovina,BIH,77.241
Belarus,BLR,74.22682927
Belize,BLZ,73.931
Bermuda,BMU,81.86658537
Bolivia,BOL,67.841
Brazil,BRA,75.338
Barbados,BRB,77.257
Brunei Darussalam,BRN,74.748
Bhutan,BTN,71.391
Botswana,BWA,65.464
Central African Republic,CAF,55.025
Canada,CAN,82.04878049
Central Europe and the Baltics,CEB,77.26684467
Switzerland,CHE,83.90487805
Channel Islands,CHI,81.39
Chile,CHL,80.326
China,CHN,77.968
Cote d'Ivoire,CIV,59.319
Cameroon,CMR,61.584
"Congo, Dem. Rep.",COD,60.276
"Congo, Rep.",COG,62.747
Colombia,COL,76.752
Comoros,COM,64.068
Cabo Verde,CPV,76.004
Costa Rica,CRI,79.427
Caribbean small states,CSS,72.51949803
Cuba,CUB,77.611
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,81.397
Czechia,CZE,79.22926829
Germany,DEU,81.29268293
Djibouti,DJI,63.085
Dominica,DMA,
Denmark,DNK,81.45121951
Dominican Republic,DOM,73.577
Algeria,DZA,76.474
East Asia & Pacific (excluding high income),EAP,76.00225932
Early-demographic dividend,EAR,71.01658296
East Asia & Pacific,EAS,76.79700787
Europe & Central Asia (excluding high income),ECA,73.9038168
Europe & Central Asia,ECS,78.1717263
Ecuador,ECU,77.297
"Egypt, Arab Rep.",EGY,71.358
Euro area,EMU,82.32775602
Eritrea,ERI,67.3
Spain,ESP,83.83170732
Estonia,EST,78.64634146
Ethiopia,ETH,65.838
European Union,EUU,81.31485796
Fragile and conflict affected situations,FCS,62.26674855
Finland,FIN,81.98292683
Fiji,FJI,67.893
France,FRA,82.82682927
Faroe Islands,FRO,82.79268293
"Micronesia, Fed. Sts.",FSM,71.077
Gabon,GAB,66.603
United Kingdom,GBR,81.20487805
Georgia,GEO,73.47
Ghana,GHA,64.74
Gibraltar,GIB,82.363
Guinea,GIN,59.72
"Gambia, The",GMB,63.755
Guinea-Bissau,GNB,60.882
Equatorial Guinea,GNQ,61.644
Greece,GRC,81.63902439
Grenada,GRD,74.863
Greenland,GRL,72.04756098
Guatemala,GTM,73.129
Guam,GUM,77.717
Guyana,GUY,69.124
High income,HIC,80.97440042
"Hong Kong SAR, China",HKG,85.07804878
Honduras,HND,72.881
Heavily indebted poor countries (HIPC),HPC,63.33805695
Croatia,HRV,78.42439024
Haiti,HTI,64.255
Hungary,HUN,76.3195122
IBRD only,IBD,74.13829197
IDA & IBRD total,IBT,71.52600223
IDA total,IDA,64.0609363
IDA blend,IDB,61.33006532
Indonesia,IDN,70.518
IDA only,IDX,65.44156243
Isle of Man,IMN,80.737
India,IND,70.91
Not classified,INX,
Ireland,IRL,82.70243902
"Iran, Islamic Rep.",IRN,76.103
Iraq,IRQ,71.576
Iceland,ISL,83.16341463
Israel,ISR,82.80487805
Italy,ITA,83.49756098
Jamaica,JAM,71.767
Jordan,JOR,76.044
Japan,JPN,84.35634146
Kazakhstan,KAZ,73.18
Kenya,KEN,62.943
