"","country","code","healthexp_usd_percap_2019","mat_mort_2017","health_exp_gdp_2019","infant_mort_2020","healthexp_usd_percap_2019_z","infant_mort_2020_z","mat_mort_2017_z","healthexp_usd_percap_2019_z_transformed","infant_mort_2020_z_transformed","mat_mort_2017_z_transformed","life_exp_2019","life_exp_2019_z","life_exp_2019_z_transformed"
"1","Afghanistan","AFG",65.8,638,13.24220181,45,-0.572526984295911,1.23005201094339,1.94942076229809,-0.369091294972511,0.348314992107489,0.423150935357694,63.565,-1.13565024135772,0.27052739085011
"2","Albania","ALB",NA,15,NA,8.8,NA,-0.620390338699733,-0.636235994325498,NA,-0.420662743041373,-1.19542440824167,79.282,0.903426759707106,0.591446035076789
"3","Algeria","DZA",248.2,112,6.24337101,19.5,-0.477398739402346,-0.0734363845234511,-0.233653802684265,-0.281829547019821,-0.0331247577784581,-0.331291560214574,76.474,0.539125161501976,0.548895921775258
"4","Angola","AGO",71.3,241,2.53335953,48.3,-0.569658533929054,1.39873874447439,0.301739008879849,-0.366186804932654,0.379982949922108,0.000754586034591959,62.448,-1.28056651101411,0.235385381132108
"5","Argentina","ARG",946,39,9.5100708,7.6,-0.113470618312821,-0.681730969074643,-0.536628029383337,-0.0523068662749582,-0.497205618220233,-0.786822452397871,77.284,0.644212160984226,0.561603653060162
"6","Armenia","ARM",524,26,11.33526421,9.7,-0.333558991915256,-0.574384865918551,-0.590582343727008,-0.176238287356119,-0.370982937735553,-0.96091259204994,75.439,0.404847328830212,0.532097643199441
"7","Australia","AUS",5427.5,6,9.91078568,3.1,2.2237948942448,-0.911758332980557,-0.673588981178808,0.508367403129561,-1.05432629600636,-1.57821484529489,82.9,1.37281535739449,0.640761139600134
"8","Austria","AUT",5242.2,5,10.43403149,3,2.12715419370325,-0.916870052178466,-0.677739313051399,0.495149295961025,-1.08024249209316,-1.65246143778282,81.89512195,1.24244545724625,0.627616267543809
"9","Azerbaijan","AZE",193.1,26,4.03829002,17.3,-0.506135396713943,-0.185894206877453,-0.590582343727008,-0.306392099872931,-0.0893191548357206,-0.96091259204994,73.102,0.101651874768464,0.491593051584818
"10","Bahamas","BHS",2004.6,70,5.74977493,10.5,0.438627846842483,-0.533491112335277,-0.407967741333046,0.157948462480117,-0.331140077904667,-0.534569172567866,71.205,-0.144459283278236,0.455688357084055
